DIS-ID-NAME,DIS-ID,RADIO-ID,FREQUENCY-NAME,FREQUENCY,PTT-ON,PTT-OFF,PTT-DURATION,DAC-SAMPLES,VAD,FILENAME,TRUNCATED?,CONTENT?
"2","13000:2:2",1,"",240800000,00:02:54.623,00:02:59.326,4.703,4.704,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_174.624s.au"),0,1
"2","13000:2:2",1,"",240800000,00:03:00.332,00:03:00.932,0.599,0.592,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_180.333s.au"),0,1
"3","13000:3:3",1,"",240800000,00:03:02.625,00:03:02.929,0.304,0.304,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_182.625s.au"),0,1
"2","13000:2:2",1,"",240800000,00:03:02.304,00:03:03.248,0.944,0.944,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_182.304s.au"),0,1
"3","13000:3:3",1,"",240800000,00:03:03.518,00:03:06.078,2.559,2.560,0.906,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_183.519s.au"),0,1
"2","13000:2:2",1,"",240800000,00:03:09.169,00:03:10.063,0.894,0.896,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_189.170s.au"),0,1
"2","13000:2:2",1,"",240800000,00:03:13.315,00:03:14.208,0.894,0.896,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_193.315s.au"),0,1
"3","13000:3:3",1,"",240800000,00:03:15.748,00:03:17.705,1.957,1.952,0.975,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_195.749s.au"),0,1
"2","13000:2:2",1,"",240800000,00:03:18.992,00:03:22.731,3.739,3.744,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_198.993s.au"),0,1
"4","13000:4:4",1,"",240800000,00:03:23.348,00:03:23.988,0.640,0.640,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_4_4_1_203.348s.au"),0,1
"3","13000:3:3",1,"",240800000,00:03:22.960,00:03:24.162,1.201,1.200,0.853,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_202.961s.au"),0,1
"4","13000:4:4",1,"",240800000,00:03:24.332,00:03:24.555,0.224,0.224,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_4_4_1_204.332s.au"),0,1
"4","13000:4:4",1,"",240800000,00:03:25.634,00:03:26.440,0.806,0.800,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_4_4_1_205.634s.au"),0,1
"3","13000:3:3",1,"",240800000,00:03:27.604,00:03:28.248,0.644,0.640,0.825,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_207.605s.au"),0,1
